,temp_mean,rain_mean
9.72086E+11,27.225,1.604347826
9.72173E+11,27.425,0.273913043
9.72259E+11,26.875,0.02173913
9.72346E+11,26.775,6.917391304
9.72432E+11,26.8,10.66521739
9.72518E+11,27.9,0
9.72605E+11,26.65,25.42608696
9.72691E+11,27.725,0.213043478
9.72778E+11,27.625,0.095652174
9.72864E+11,28.75,0.765217391
9.7295E+11,28.85,0
9.73037E+11,28.25,0.266666667
9.73123E+11,27,0.8375
9.7321E+11,27,1.9125
9.73296E+11,27.65,15.29166667
9.73382E+11,27.1,0.145833333
9.73469E+11,26.525,10.2
9.73555E+11,26.025,10.35
9.73642E+11,26.225,10.86666667
9.73728E+11,26.875,2.0375
9.73814E+11,26.275,2.208333333
9.73901E+11,26.25,11.59583333
9.73987E+11,26.775,2.708333333
9.74074E+11,27.175,1.5625
9.7416E+11,26.925,18.84166667
9.74246E+11,26.45,13.6875
9.74333E+11,26.7,13.94583333
9.74419E+11,27.3,5.545833333
9.74506E+11,27.45,12.05
9.74592E+11,26.525,19.66666667
9.74678E+11,26.625,26.34583333
9.74765E+11,26.725,18.40833333
9.74851E+11,26,62.16521739
9.74938E+11,26.075,1.304347826
9.75024E+11,28.575,0.082608696
9.7511E+11,28.7,0.013043478
9.75197E+11,28.85,5.639130435
9.75283E+11,27.2,18.37391304
9.7537E+11,27.125,4.860869565
9.75456E+11,26.3,1.395652174
9.75542E+11,26.225,20.88695652
9.75629E+11,27.325,0
9.75715E+11,27.275,1.05
9.75802E+11,27.95,0.1125
9.75888E+11,27.7,1.283333333
9.75974E+11,26.6,14.275
9.76061E+11,26.5,11.7125
9.76147E+11,27.2,2.825
9.76234E+11,27.55,0
9.7632E+11,28.15,0
9.76406E+11,27.6,22.05416667
9.76493E+11,26.525,18.42083333
9.76579E+11,27.325,1.375
9.76666E+11,27.85,0
9.76752E+11,26.95,6.558333333
9.76838E+11,25.675,18.42083333
9.76925E+11,25.625,5.691666667
9.77011E+11,26.35,0.383333333
9.77098E+11,26.65,6.5125
9.77184E+11,26.5,26.1625
9.7727E+11,26.9,0.025
9.77357E+11,26.575,11.64166667
9.77443E+11,25.55,8.775
9.7753E+11,24.8,15.72083333
9.77616E+11,25.75,3.795833333
9.77702E+11,26.7,3.191666667
9.77789E+11,27.05,7.3125
9.77875E+11,27.45,0.454166667
9.77962E+11,27.725,15.71666667
9.78048E+11,26.425,19.39583333
9.78134E+11,27.4,5.779166667
9.78221E+11,26.3,0
9.78307E+11,26.25,22.80416667
9.78394E+11,25.15,0.429166667
9.7848E+11,26.525,0.320833333
9.78566E+11,25.125,2.416666667
9.78653E+11,26.3,4.333333333
9.78739E+11,26,16.8
9.78826E+11,26,2.233333333
9.78912E+11,26.4,22.50416667
9.78998E+11,27.03333333,3.6125
9.79085E+11,27.2,0
9.79171E+11,26.23333333,4.970833333
9.79258E+11,26.4,18.96666667
9.79344E+11,26.9,0.7625
9.7943E+11,26.9,13.55833333
9.79517E+11,26.475,83.7625
9.79603E+11,23.375,76.72916667
9.7969E+11,24.025,8.433333333
9.79776E+11,26.45,0.241666667
9.79862E+11,26.875,36.1125
9.79949E+11,25.7,0.6875
9.80035E+11,26.9,10.1125
9.80122E+11,26.55,8.1875
9.80208E+11,26.75,7.920833333
9.80294E+11,26.425,12.5875
9.80381E+11,26.775,12.3375
9.80467E+11,26.975,11.89583333
9.80554E+11,26.925,8.7875
9.8064E+11,27.175,0.979166667
9.80726E+11,25.925,12.5
9.80813E+11,25.375,3.008333333
9.80899E+11,24.3,0.725
9.80986E+11,25.975,0
9.81072E+11,26.825,6.575
9.81158E+11,26.875,0.05
9.81245E+11,26.5,14.62083333
9.81331E+11,26.125,1.054166667
9.81418E+11,26.15,17.57916667
9.81504E+11,26.875,1.7875
9.8159E+11,25.775,0
9.81677E+11,25.9,0.9375
9.81763E+11,26.35,0
9.8185E+11,27.375,1.491666667
9.81936E+11,26.95,1.8125
9.82022E+11,26.675,5.3625
9.82109E+11,27.025,5.595833333
9.82195E+11,27.325,0.158333333
9.82282E+11,27.175,0.533333333
9.82368E+11,26.9,0
9.82454E+11,26.375,11.33333333
9.82541E+11,26.675,1.120833333
9.82627E+11,26.55,0.404166667
9.82714E+11,26.975,1.783333333
9.828E+11,26.525,7.104166667
9.82886E+11,27.225,0
9.82973E+11,26.475,26.88333333
9.83059E+11,27.525,0.616666667
9.83146E+11,27.55,0
9.83232E+11,27.9,1.454166667
9.83318E+11,27.725,0
9.83405E+11,27.475,0.004166667
9.83491E+11,27.475,0.6625
9.83578E+11,27.375,13.34583333
9.83664E+11,28.075,6.145833333
9.8375E+11,27.275,0.004166667
9.83837E+11,26.75,0.2625
9.83923E+11,27.15,6.691666667
9.8401E+11,27.125,21.9625
9.84096E+11,26.85,2.908333333
9.84182E+11,26.45,12.67083333
9.84269E+11,27.375,1.820833333
9.84355E+11,26.75,11.28333333
9.84442E+11,27.075,0.0125
9.84528E+11,27.85,0
9.84614E+11,27.25,4.720833333
9.84701E+11,26.8,7.729166667
9.84787E+11,26.925,14.12916667
9.84874E+11,27.875,0.108333333
9.8496E+11,27.525,6.929166667
9.85046E+11,27.875,0
9.85133E+11,27.625,1.566666667
9.85219E+11,27.125,23.64583333
9.85306E+11,27.9,24.80416667
9.85392E+11,26.175,3.445833333
9.85478E+11,26.425,21.7125
9.85565E+11,26.95,2.304166667
9.85651E+11,28.875,18.8875
9.85738E+11,27.85,1.479166667
9.85824E+11,27.825,0.004166667
9.8591E+11,27.375,24.83333333
9.85997E+11,26.225,19.05416667
9.86083E+11,27.525,3.254166667
9.8617E+11,28.05,31.38333333
9.86256E+11,27.725,15.96666667
9.86342E+11,28.025,0
9.86429E+11,27.7,4.666666667
9.86515E+11,26.25,11.79583333
9.86602E+11,26.675,0.454166667
9.86688E+11,27.85,5.633333333
9.86774E+11,28.275,0.433333333
9.86861E+11,26.93333333,7.620833333
9.86947E+11,27.03333333,17.4625
9.87034E+11,26.96666667,18.625
9.8712E+11,25.36666667,12.69166667
9.87206E+11,27.2,3.0875
9.87293E+11,27.63333333,14.48333333
9.87379E+11,26.73333333,13.50833333
9.87466E+11,27.6,5.925
9.87552E+11,27.43333333,5.1625
9.87638E+11,26.8,15.4375
9.87725E+11,27.16666667,0.245833333
9.87811E+11,28.36666667,0.225
9.87898E+11,27.83333333,2.0375
9.87984E+11,27.8,1.366666667
9.8807E+11,27.7,10.53333333
9.88157E+11,26.4,6.454166667
9.88243E+11,26.86666667,1.833333333
9.8833E+11,27.9,23.86666667
9.88416E+11,27.23333333,16.56086957
9.88502E+11,27.23333333,1.565217391
9.88589E+11,28.6,0.095833333
9.88675E+11,27.675,3.970833333
9.88762E+11,27.5,1.7375
